mode,epoch,llm_calls_per_success,success_rate,guard_score,mature
llm_only,0,2.3333,0.6000,0.0000,0
llm_only,1,2.3333,0.6000,0.0000,0
llm_only,2,2.3333,0.6000,0.0000,0
llm_only,3,2.3333,0.6000,0.0000,0
static_aspect_graph,0,1.0000,1.0000,0.0000,0
static_aspect_graph,1,1.0000,1.0000,0.0000,0
static_aspect_graph,2,1.0000,1.0000,0.0000,0
static_aspect_graph,3,1.0000,1.0000,0.0000,0
man_full,0,1.9672,1.0000,0.0435,0
man_full,1,1.9004,1.0000,0.0868,0
man_full,2,1.8337,1.0000,0.1302,0
man_full,3,1.7670,1.0000,0.1735,0
