mode,epoch,success_rate,mean_reward,llm_calls,dev_edits,aspects,edges,splits,bootstrap_score,bootstrap_buffer,bootstrap_activations,bootstrap_state,first_split_epoch,split_guard_reason
man_full,0,0.16666666666666666,0.611111111111111,12,0,2,0,0,0.6833333333333335,6,6,reinforced,,n(concern_self_evolving_agent_reward_modulated_plasticity)=6 < n_min=24
man_full,1,0.16666666666666666,0.611111111111111,12,0,2,0,0,0.8666666666666669,12,12,reinforced,,n(concern_self_evolving_agent_reward_modulated_plasticity)=12 < n_min=24
man_full,2,0.16666666666666666,0.5833333333333334,12,0,2,0,0,1.0,18,18,reinforced,,n(concern_self_evolving_agent_reward_modulated_plasticity)=18 < n_min=24
man_full,3,0.8333333333333334,0.9166666666666666,12,0,4,0,1,1.0,0,24,archived,3,accepted (categorical axis=ct-fib)
static_aspect_graph,0,0.16666666666666666,0.611111111111111,12,0,1,0,0,,6,0,active,,
static_aspect_graph,1,0.16666666666666666,0.611111111111111,12,0,1,0,0,,12,0,active,,
static_aspect_graph,2,0.16666666666666666,0.611111111111111,12,0,1,0,0,,18,0,active,,
static_aspect_graph,3,0.8333333333333334,0.9166666666666666,12,0,1,0,0,,24,0,active,,
hand_iterated,0,0.6666666666666666,0.875,12,2,4,6,0,0.7625000000000002,6,6,reinforced,,n(concern_self_evolving_agent_reward_modulated_plasticity)=6 < n_min=24
hand_iterated,1,0.8333333333333334,0.9583333333333334,12,3,5,14,0,1.0,12,12,reinforced,,n(concern_self_evolving_agent_reward_modulated_plasticity)=12 < n_min=24
hand_iterated,2,0.6666666666666666,0.9027777777777778,12,3,5,14,0,1.0,18,18,reinforced,,n(concern_self_evolving_agent_reward_modulated_plasticity)=18 < n_min=24
hand_iterated,3,0.8333333333333334,0.9583333333333334,12,3,5,14,0,1.0,24,24,reinforced,,ΔF ≥ 0
